lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
acanthella,noun,2,sig:acanthellae,,,,active,2025-08-17,2025-08-17,acanthellae,
acanthoma,noun,2,sig:acanthomata,,,,active,2025-08-17,2025-08-17,acanthomata,
acanthopelvis,noun,2,sig:acanthopelves,,,,active,2025-08-17,2025-08-17,acanthopelves,
acanthosoma,noun,2,sig:acanthosomata,,,,active,2025-08-17,2025-08-17,acanthosomata,
acanthus,noun,2,sig:acanthi,,,,active,2025-08-17,2025-08-17,acanthi,
acardiacus,noun,1,sig:acardiaci,,,,active,2025-08-17,2025-08-17,acardiaci,
acarinarium,noun,2,sig:acarinariums,,,,active,2025-08-17,2025-08-17,acarinariums,
acarocecidium,noun,2,sig:acarocecidiums,,,,active,2025-08-17,2025-08-17,acarocecidiums,
acarus,noun,1,sig:acari,,,,active,2025-08-17,2025-08-17,acari,
acarus,noun,2,sig:acarina,,,,active,2025-08-17,2025-08-17,acarina,
acathistos,noun,1,sig:acathistoi,,,,active,2025-08-17,2025-08-17,acathistoi,
acaxee,noun,2,sig:acaxee,,,,active,2025-08-17,2025-08-17,acaxee,
accelerando,noun,2,sig:accelerandoes,,,,active,2025-08-17,2025-08-17,accelerandoes,
acciaccatura,noun,2,sig:acciaccature,,,,active,2025-08-17,2025-08-17,acciaccature,
accidens,noun,1,sig:accidentia,,,,active,2025-08-17,2025-08-17,accidentia,
accused,noun,2,sig:accused,,,,active,2025-08-17,2025-08-17,accused,
acephalus,noun,1,sig:acephali,,,,active,2025-08-17,2025-08-17,acephali,
acerra,noun,2,sig:acerrae,,,,active,2025-08-17,2025-08-17,acerrae,
acervulus,noun,1,sig:acervuli,,,,active,2025-08-17,2025-08-17,acervuli,
acetabulum,noun,2,sig:acetabulums,,,,active,2025-08-17,2025-08-17,acetabulums,
acetoxy,noun,1,sig:acetoxys,,,,active,2025-08-17,2025-08-17,acetoxys,
acetum,noun,2,sig:acetums,,,,active,2025-08-17,2025-08-17,acetums,
acetylonium,noun,1,sig:acetyloniums,,,,active,2025-08-17,2025-08-17,acetyloniums,
acf,noun,1,sig:acfs,,,,active,2025-08-17,2025-08-17,acfs,
ach,noun,2,sig:achs,,,,active,2025-08-17,2025-08-17,achs,
achaemenid,noun,2,sig:achaemenidae,,,,active,2025-08-17,2025-08-17,achaemenidae,
achang,noun,2,sig:achang,,,,active,2025-08-17,2025-08-17,achang,
acharon,noun,1,sig:acharonim,,,,active,2025-08-17,2025-08-17,acharonim,
acheiropoieton,noun,1,sig:acheiropoieta,,,,active,2025-08-17,2025-08-17,acheiropoieta,
achenium,noun,2,sig:acheniums,,,,active,2025-08-17,2025-08-17,acheniums,
achimenes,noun,1,sig:achimenes,,,,active,2025-08-17,2025-08-17,achimenes,
acholi,noun,2,sig:acholi,,,,active,2025-08-17,2025-08-17,acholi,
achua,noun,1,sig:wochua,,,,active,2025-08-17,2025-08-17,wochua,
acicula,noun,2,sig:aciculae,,,,active,2025-08-17,2025-08-17,aciculae,
aciculum,noun,2,sig:aciculums,,,,active,2025-08-17,2025-08-17,aciculums,
acinaces,noun,1,sig:acinaces,,,,active,2025-08-17,2025-08-17,acinaces,
acinus,noun,1,sig:acini,,,,active,2025-08-17,2025-08-17,acini,
acne,noun,2,sig:acnae,,,,active,2025-08-17,2025-08-17,acnae,
acoasma,noun,2,sig:acoasmata,,,,active,2025-08-17,2025-08-17,acoasmata,
acocil,noun,1,sig:acociles,,,,active,2025-08-17,2025-08-17,acociles,
acod,noun,2,sig:acod,,,,active,2025-08-17,2025-08-17,acod,
acolapissa,noun,2,sig:acolapissa,,,,active,2025-08-17,2025-08-17,acolapissa,
acolhua,noun,2,sig:acolhua,,,,active,2025-08-17,2025-08-17,acolhua,
acoman,noun,1,sig:acomans,,,,active,2025-08-17,2025-08-17,acomans,
aconitum,noun,1,sig:aconitums,,,,active,2025-08-17,2025-08-17,aconitums,
acontium,noun,2,sig:acontiums,,,,active,2025-08-17,2025-08-17,acontiums,
acousma,noun,2,sig:acousmata,,,,active,2025-08-17,2025-08-17,acousmata,
acousmonium,noun,2,sig:acousmoniums,,,,active,2025-08-17,2025-08-17,acousmoniums,
acreful,noun,2,sig:acresful,,,,active,2025-08-17,2025-08-17,acresful,
acridinium,noun,1,sig:acridiniums,,,,active,2025-08-17,2025-08-17,acridiniums,
acridonium,noun,1,sig:acridoniums,,,,active,2025-08-17,2025-08-17,acridoniums,
acridophagus,noun,1,sig:acridophagi,,,,active,2025-08-17,2025-08-17,acridophagi,
acritarch,noun,1,sig:acritarchs,,,,active,2025-08-17,2025-08-17,acritarchs,
acroama,noun,1,sig:acroamata,,,,active,2025-08-17,2025-08-17,acroamata,
acroclinium,noun,1,sig:acrocliniums,,,,active,2025-08-17,2025-08-17,acrocliniums,
acrodermatitis,noun,1,sig:acrodermatitides,,,,active,2025-08-17,2025-08-17,acrodermatitides,
acromion,noun,2,sig:acromia,,,,active,2025-08-17,2025-08-17,acromia,
acropleuron,noun,1,sig:acropleura,,,,active,2025-08-17,2025-08-17,acropleura,
acropodion,noun,1,sig:acropodia,,,,active,2025-08-17,2025-08-17,acropodia,
acropolis,noun,2,sig:acropoleis,,,,active,2025-08-17,2025-08-17,acropoleis,
acrorhagus,noun,1,sig:acrorhagi,,,,active,2025-08-17,2025-08-17,acrorhagi,
acrostich,noun,1,sig:acrostichs,,,,active,2025-08-17,2025-08-17,acrostichs,
acroterion,noun,2,sig:acroteria,,,,active,2025-08-17,2025-08-17,acroteria,
acs,noun,2,sig:acss,,,,active,2025-08-17,2025-08-17,acss,
actifan,noun,2,sig:actifen,,,,active,2025-08-17,2025-08-17,actifen,
actinia,noun,2,sig:actiniae,,,,active,2025-08-17,2025-08-17,actiniae,
actinium,noun,1,sig:actiniums,,,,active,2025-08-17,2025-08-17,actiniums,
actinizoan,noun,2,sig:actinizoa,,,,active,2025-08-17,2025-08-17,actinizoa,
actinobacillus,noun,1,sig:actinobacilli,,,,active,2025-08-17,2025-08-17,actinobacilli,
actinobranch,noun,1,sig:actinobranchs,,,,active,2025-08-17,2025-08-17,actinobranchs,
actinomyces,noun,1,sig:actinomyces,,,,active,2025-08-17,2025-08-17,actinomyces,
actinomycoma,noun,2,sig:actinomycomata,,,,active,2025-08-17,2025-08-17,actinomycomata,
actinopharynx,noun,2,sig:actinopharynges,,,,active,2025-08-17,2025-08-17,actinopharynges,
actinotrich,noun,1,sig:actinotrichs,,,,active,2025-08-17,2025-08-17,actinotrichs,
actinozoan,noun,2,sig:actinozoa,,,,active,2025-08-17,2025-08-17,actinozoa,
actinozoon,noun,2,sig:actinozoons,,,,active,2025-08-17,2025-08-17,actinozoons,
