infinitive,third_person_singular,past,present_participle,past_participle
tehee,tehees,teheed,teheeing,teheed
engild,engilds,engilt,engilding,engilt
naughty,naughties,naughtied,naughtying,naughtied
outfly,outflies,outflew,outflying,outflown
gril,grils,grilled,grilling,grilled
crossfeed,crossfeeds,crossfed,crossfeeding,crossfed
fruitify,fruitifies,fruitified,fruitifying,fruitified
milady,miladies,miladyed,miladying,miladyed
send,sends,sent,sending,sent
summerset,summersets,summersetted,summersetting,summersetted
discandy,discandies,discandied,discandying,discandied
unpeg,unpegs,unpegged,unpegging,unpegged
submit,submits,submitted,submitting,submitted
squid,squids,squidded,squidding,squidded
retransmit,retransmits,retransmitted,retransmitting,retransmitted
overbind,overbinds,overbound,overbinding,overbound
toput,toputs,toput,toputting,toput
prefer,prefers,preferred,preferring,preferred
pretypify,pretypifies,pretypified,pretypifying,pretypified
redig,redigs,redug,redigging,redug
shammy,shammies,shammied,shammying,shammied
clepe,clepes,clept,cleping,yclept
disclassify,disclassifies,disclassified,disclassifying,disclassified
ignify,ignifies,ignified,ignifying,ignified
prog,progs,progged,progging,progged
underthrow,underthrows,underthrew,underthrowing,underthrown
outbuild,outbuilds,outbuilt,outbuilding,outbuilt
overpot,overpots,overpotted,overpotting,overpotted
sod,sods,sodded,sodding,sodded
bug,bugs,bugged,bugging,bugged
longe,longes,longed,longeing,longed
rebud,rebuds,rebudded,rebudding,rebudded
offstand,offstands,offstood,offstanding,offstood
reshoot,reshoots,reshot,reshooting,reshot
fuq,fuqs,fuqqed,fuqqing,fuqqed
crotch,crotches,crotched,crotching,crotched
breach,breaches,breached,breaching,breached
satisfy,satisfies,satisfied,satisfying,satisfied
premake,premakes,premade,premaking,premade
happy,happies,happied,happying,happied
wheelspin,wheelspins,wheelspinned,wheelspinning,wheelspinned
redrive,redrives,redrove,redriving,redriven
rehide,rehides,rehid,rehiding,rehidden
spuilzie,spuilzies,spuilzied,spuilzieing,spuilzied
uptear,uptears,uptore,uptearing,uptorn
beset,besets,beset,besetting,beset
carillon,carillons,carillonned,carillonning,carillonned
songify,songifies,songified,songifying,songified
overbody,overbodies,overbodied,overbodying,overbodied
underburn,underburns,underburnt,underburning,underburnt
outpomp,outpomps,outpomped,outpomping,outpomped
handbag,handbags,handbagged,handbagging,handbagged
transfur,transfurs,transfurred,transfurring,transfurred
quat,quats,quatted,quatting,quatted
unstir,unstirs,unstirred,unstirring,unstirred
fidget,fidgets,fidgetted,fidgetting,fidgetted
outcatch,outcatches,outcaught,outcatching,outcaught
clutch,clutches,clutched,clutching,clutched
mistetch,mistetches,mistetched,mistetching,mistetched
laurel,laurels,laurelled,laurelling,laurelled
indignify,indignifies,indignified,indignifying,indignified
imaginify,imaginifies,imaginified,imaginifying,imaginified
unpin,unpins,unpinned,unpinning,unpinned
corrump,corrumps,corrumped,corrumping,corrumped
unsling,unslings,unslung,unslinging,unslung
gag,gags,gagged,gagging,gagged
replug,replugs,replugged,replugging,replugged
overloop,overloops,overlooped,overlooping,overlooped
unplan,unplans,unplanned,unplanning,unplanned
belive,belives,belove,beliving,beliven
yet,yets,yot,yetting,yotten
resay,resays,resaid,resaying,resaid
enwind,enwinds,enwound,enwinding,enwound
champ,champs,champed,champing,champed
unbishop,unbishops,unbishoped,unbishoping,unbishoped
bounty,bounties,bountied,bountying,bountied
relet,relets,relet,reletting,relet
hobandnob,hobandnobs,hobandnobbed,hobandnobbing,hobandnobbed
outtrot,outtrots,outtrotted,outtrotting,outtrotted
upsend,upsends,upsent,upsending,upsent
uncardinal,uncardinals,uncardinalled,uncardinalling,uncardinalled
bullirag,bullirags,bulliragged,bulliragging,bulliragged
scholy,scholies,scholied,scholying,scholied
predevelop,predevelops,predeveloped,predeveloping,predeveloped
underread,underreads,underread,underreading,underread
worth,worths,worthed,worthing,worthen
mislearn,mislearns,mislearnt,mislearning,mislearnt
foredecree,foredecrees,foredecreed,foredecreeing,foredecreed
person,persons,personned,personning,personned
shave,shaves,shaved,shaving,shaven
bonnet,bonnets,bonnetted,bonnetting,bonnetted
sleepeat,sleepeats,sleepate,sleepeating,sleepeaten
surbeat,surbeats,surbeated,surbeating,surbeaten
entwin,entwins,entwinned,entwinning,entwinned
scan,scans,scanned,scanning,scanned
downcry,downcries,downcried,downcrying,downcried
dinghy,dinghies,dinghied,dinghying,dinghied
frab,frabs,frabbed,frabbing,frabbed
set,sets,set,setting,set
giue,giues,gaue,giuing,giuen
luv,luvs,luvved,luvving,luvved
torque,torques,torqued,torqueing,torqued
stressify,stressifies,stressified,stressifying,stressified
oversay,oversays,oversaid,oversaying,oversaid
forncast,forncasts,forncast,forncasting,forncast
wigwam,wigwams,wigwammed,wigwamming,wigwammed
renib,renibs,renibbed,renibbing,renibbed
unbend,unbends,unbent,unbending,unbent
referee,referees,refereed,refereeing,refereed
downtread,downtreads,downtrod,downtreading,downtrodden
muddy,muddies,muddied,muddying,muddied
overarch,overarches,overarched,overarching,overarched
gypsyfy,gypsyfies,gypsyfied,gypsyfying,gypsyfied
gainstrive,gainstrives,gainstrove,gainstriving,gainstriven
backchannel,backchannels,backchannelled,backchannelling,backchannelled
thin,thins,thinned,thinning,thinned
birdsit,birdsits,birdsitted,birdsitting,birdsitted
degel,degels,degelled,degelling,degelled
declassify,declassifies,declassified,declassifying,declassified
dirty,dirties,dirtied,dirtying,dirtied
uncan,uncans,uncanned,uncanning,uncanned
detelecine,detelecines,detelecined,detelecineing,detelecined
brivet,brivets,brivetted,brivetting,brivetted
rebranch,rebranches,rebranched,rebranching,rebranched
clitch,clitches,clitched,clitching,clitched
freefeed,freefeeds,freefed,freefeeding,freefed
upcreep,upcreeps,upcrept,upcreeping,upcrept
upswim,upswims,upswam,upswimming,upswum
memeify,memeifies,memeified,memeifying,memeified
empleach,empleaches,empleached,empleaching,empleached
disattach,disattaches,disattached,disattaching,disattached
overapply,overapplies,overapplied,overapplying,overapplied
gunzel,gunzels,gunzelled,gunzelling,gunzelled
unpacify,unpacifies,unpacified,unpacifying,unpacified
overmodify,overmodifies,overmodified,overmodifying,overmodified
scar,scars,scarred,scarring,scarred
undercome,undercomes,undercame,undercoming,undercome
kape,kapes,kapt,kaping,kapt
trolly,trollies,trollied,trollying,trollied
deoccupy,deoccupies,deoccupied,deoccupying,deoccupied
outwit,outwits,outwitted,outwitting,outwitted
bach,baches,bached,baching,bached
unfight,unfights,unfought,unfighting,unfought
rootch,rootches,rootched,rootching,rootched
christmas,christmasses,christmassed,christmassing,christmassed
undersell,undersells,undersold,underselling,undersold
fall,falls,fell,falling,fallen
rebus,rebusses,rebussed,rebussing,rebussed
anglify,anglifies,anglified,anglifying,anglified
mulcify,mulcifies,mulcified,mulcifying,mulcified
miscarry,miscarries,miscarried,miscarrying,miscarried
countify,countifies,countified,countifying,countified
spaie,spaies,spaied,spaying,spaied
overpump,overpumps,overpumped,overpumping,overpumped
ringlead,ringleads,ringled,ringleading,ringled
outwrench,outwrenches,outwrenched,outwrenching,outwrenched
repulp,repulps,repulped,repulping,repulped
beslurry,beslurries,beslurried,beslurrying,beslurried
adsignify,adsignifies,adsignified,adsignifying,adsignified
reburn,reburns,reburnt,reburning,reburnt
nag,nags,nagged,nagging,nagged
overstrike,overstrikes,overstruck,overstriking,overstruck
smeg,smegs,smegged,smegging,smegged
slut,sluts,slutted,slutting,slutted
begod,begods,begodded,begodding,begodded
repartee,repartees,reparteed,reparteeing,reparteed
quinch,quinches,quinched,quinching,quinched
microstretch,microstretches,microstretched,microstretching,microstretched
lurch,lurches,lurched,lurching,lurched
scrum,scrums,scrummed,scrumming,scrummed
jumar,jumars,jumarred,jumarring,jumarred
yete,yetes,yote,yeting,yoten
mishold,misholds,misheld,misholding,misheld
mislie,mislies,mislay,mislying,mislain
magnetify,magnetifies,magnetified,magnetifying,magnetified
nonsensify,nonsensifies,nonsensified,nonsensifying,nonsensified
crinch,crinches,crinched,crinching,crinched
defrag,defrags,defragged,defragging,defragged
abroach,abroaches,abroached,abroaching,abroached
