wiki_single,wiktionary_plural
wommon,womyn
jann,jinnan
dts,the dts
teruah,teruot
teruah,teruos
tx,tx's
zubron,zubronie
leonardeschi,the leonardeschi
hoa,hoa's
gaeilgeoir,gaeilgeoirí
kahen,kahenat
egun,egungun
womin,wimin
stubborns,the stubborns
amebula,amebulæ
dismals,the dismals
kgosana,dikgosana
periplous,periploi
amtmann,amtmenn
urstromtal,urstromtäler
ratal,irtal
sleepies,the sleepies
footful,feetful
oroch,orochons
uap,uap's
paprikahuhn,paprikahühner
ulx,ulx's
shaliah,shlihim
shaliah,shelihim
shaliah,shluhim
shaliah,shelichim
shaliah,shluchim
armfull,armsfull
lacc,lacc's
sxs,sxs's
capatas,capataces
pasuk,p'sukim
lgbo,lgbo's
umdah,umada
lionesses,the lionesses
residenzstadt,residenzstädte
dphil,dphil's
ghazeeyeh,ghawazee
dolefuls,the dolefuls
ozt,ozt's
zimrah,zemirot
zimrah,zemiroth
shomer,shomrim
eaas,eaas's
katachresis,katechreses
handie,handsies
blahaj,blahajar
his,his's
thulr,thulir
guernseywoman,guernseyswomen
kb,kb's
sanguicel,sanguiceis
sichah,sichos
apikorus,apikorsim
kohein,kohanim
shoresh,shorashim
ytpmv,ytpmv's
beraka,berakoth
fto,fto's
giyoret,giyorot
meemies,the meemies
hisatsinom,the hisatsinom
wommin,wimmin
amoebula,amoebulæ
sturzstrom,sturzströme
insp,insp's
prochoos,prochoi
inyen,inyonem
seidkona,seidkonur
omanhene,amanhene
muileach,muilich
tiklal,tikalil
myometritis,endometritides
