positive,comparative,superlative
cursed,curseder,cursedest
quaky,quakier,quakiest
sprightly,sprightlier,sprightliest
shrewde,shrewder,shrewdest
cleanly,cleanlier,cleanliest
wintry,wintrier,wintriest
moony,moonier,mooniest
muggy,muggier,muggiest
dapper,dapperer,dapperest
wanton,wantoner,wantonest
shrieky,shriekier,shriekiest
thorough,thorougher,thoroughest
reckless,recklesser,recklessest
hoardy,hoardier,hoardiest
wriggly,wrigglier,wriggliest
austere,austerer,austerest
haunted,more haunted,hauntedest
clicky,clickier,clickiest
supple,suppler,supplest
showery,showerier,showeriest
sporty,sportier,sportiest
rum,rummer,rummest
artsie,artsier,artsiest
dumbass,dumberass,dumbestass
thin,thinner,thinnest
handsy,handsier,handsiest
crampy,crampier,crampiest
seaworthy,seaworthier,seaworthiest
weedy,weedier,weediest
plushy,plushier,plushiest
chunky,chunkier,chunkiest
snipey,snipier,snipiest
gorky,gorkier,gorkiest
skuzzy,skuzzier,skuzziest
quakey,quakier,quakiest
twiddly,twiddlier,twiddliest
shrimpy,shrimpier,shrimpiest
rapey,rapier,rapiest
doleful,dolefuller,dolefullest
duddy,duddier,duddiest
honey,honeyer,honeyest
yoong,yoonger,yoongest
spoofy,spoofier,spoofiest
glary,glarier,glariest
icky,ickier,ickiest
wurly,wurlier,wurliest
content2,contenter,most content
slinky,slinkier,slinkiest
dutchy2,dutchier,dutchiest
churchly,churchlier,churchliest
frass,frasser,frassest
chaste,chaster,chastest
plebby,plebbier,plebbiest
grave,graver,gravest
braky,brakier,brakiest
finnicky,finnickier,finnickiest
punky,punkier,punkiest
sulky,sulkier,sulkiest
drapey,drapier,drapiest
warmy,warmier,warmiest
short,shorter,shortest
dancy2,dancier,danciest
shoaly,shoalier,shoaliest
yawny,yawnier,yawniest
pouty,poutier,poutiest
u2,uer,uest
stern,sterner,sternest
shlubby,shlubbier,shlubbiest
plighty,plightier,plightiest
prosy,prosier,prosiest
sunly,sunlier,sunliest
childly,childlier,childliest
scratchy,scratchier,scratchiest
beastly,beastlier,beastliest
corky,corkier,corkiest
foine,foiner,foinest
frowsy,frowsier,frowsiest
lightweight,lighterweight,lightestweight
gappy,gappier,gappiest
sandy,sandier,sandiest
tony,tonier,toniest
spiky,spikier,spikiest
cuuute,cuuuter,cuuutest
leeward,more leeward,leewardmost
hoarse,hoarser,hoarsest
fendy,fendier,fendiest
beefy,beefier,beefiest
flakey,flakier,flakiest
blate,blater,blatest
limber,limberer,limberest
plain,plainer,plainest
pizazzy,pizazzier,pizazziest
prime,primer,primest
gunky,gunkier,gunkiest
thankworthy,thankworthier,thankworthiest
slaggy,slaggier,slaggiest
slender,slenderer,slenderest
greeny,greenier,greeniest
faky,fakier,fakiest
dim2,dimmer,dimmest
meager,meagerer,meagerest
minty,mintier,mintiest
pacey,pacier,paciest
gloopy,gloopier,gloopiest
curvy,curvier,curviest
muzzy,muzzier,muzziest
snowy,snowier,snowiest
straung,straunger,straungest
boozy,boozier,booziest
chonky,chonkier,chonkiest
jangly,janglier,jangliest
sloaney,sloanier,sloaniest
big,bigger,biggest
stanch,stancher,stanchest
lousey,lousier,lousiest
hail,hailer,hailest
stubby,stubbier,stubbiest
unfussy,unfussier,unfussiest
frizzy,frizzier,frizziest
sombre,sombrer,sombrest
trucky,truckier,truckiest
fameworthy,fameworthier,fameworthiest
clingy,clingier,clingiest
jemmy,jemmier,jemmiest
lavish,lavisher,lavishest
dope,doper,dopest
boppy,boppier,boppiest
colly,collier,colliest
drouthy,drouthier,drouthiest
larky,larkier,larkiest
sublime,sublimer,sublimest
daft,dafter,daftest
leng,lenger,lengest
sloppy,sloppier,sloppiest
foul,fouler,foulest
unhandy,unhandier,unhandiest
low,lower,lowest
nosey,nosier,nosiest
crank,cranker,crankest
catchy,catchier,catchiest
meaty,meatier,meatiest
uncool,uncooler,uncoolest
brittle,brittler,brittlest
unhappy,unhappier,unhappiest
leetle,leetler,leetlest
yauld,yaulder,yauldest
wintery,winterier,winteriest
trashy,trashier,trashiest
unfunny,unfunnier,unfunniest
spooky,spookier,spookiest
giddy,giddier,giddiest
lukewarm,lukewarmer,lukewarmest
phoney,phonier,phoniest
dykey,dykier,dykiest
scuffy,scuffier,scuffiest
daggy,daggier,daggiest
chuffy,chuffier,chuffiest
tripey,tripier,tripiest
punchy,punchier,punchiest
perky,perkier,perkiest
scroungy,scroungier,scroungiest
beggarly,beggarlier,beggarliest
rubbish,rubbisher,rubbishest
fallen,more fallen,fallenest
wifty,wiftier,wiftiest
bootlicky,bootlickier,bootlickiest
easygoing,easygoinger,easygoingest
splurgy,splurgier,splurgiest
swerfy,swerfier,swerfiest
pesty,pestier,pestiest
cheap,cheaper,cheapest
rotten,rottener,rottenest
squicky,squickier,squickiest
squushy,squushier,squushiest
cooty,cootier,cootiest
hungy,hungier,hungiest
meer,meerer,meerest
spotty,spottier,spottiest
clarty,clartier,clartiest
splodgy,splodgier,splodgiest
snotty,snottier,snottiest
ledgy,ledgier,ledgiest
oozy,oozier,ooziest
hwite,hwiter,hwitest
trendy,trendier,trendiest
playful,playfuller,playfullest
pubey,pubier,pubiest
bright,brighter,brightest
grubby,grubbier,grubbiest
steep,steeper,steepest
mass,masser,massest
arch2,archer,archest
useless,uselesser,uselessest
slangy,slangier,slangiest
scranny,scrannier,scranniest
sliddery,slidderier,slidderiest
ungainly,ungainlier,ungainliest
exact,exacter,exactest
spermy,spermier,spermiest
teeny,teenier,teeniest
noble,nobler,noblest
crepy,crepier,crepiest
worldly,worldlier,worldliest
dirty,dirtier,dirtiest
aery,aerier,aeriest
slimy,slimier,slimiest
unholy,unholier,unholiest
shmancy,shmancier,shmanciest
tinny,tinnier,tinniest
steezy,steezier,steeziest
clerkly,clerklier,clerkliest
melty,meltier,meltiest
sawcy,sawcier,sawciest
moldy,moldier,moldiest
songy,songier,songiest
sketty,skettier,skettiest
tonguy,tonguier,tonguiest
catty,cattier,cattiest
naff,naffer,naffest
immense,immenser,immensest
funky,funkier,funkiest
jiggly,jigglier,jiggliest
bizarre,bizarrer,bizarrest
toshy,toshier,toshiest
frood,frooder,froodest
brown2,browner,brownest
ben,benar,benat
ben2,benner,benmost
newsworthy,newsworthier,newsworthiest
superb,superber,superbest
typey,typier,typiest
douchy,douchier,douchiest
fratty,frattier,frattiest
buttery,butterier,butteriest
thready,threadier,threadiest
keen,keener,keenest
boon,booner,boonest
stressy,stressier,stressiest
stabby,stabbier,stabbiest
fouthy,fouthier,fouthiest
lushy,lushier,lushiest
rizzy,rizzier,rizziest
bulgy,bulgier,bulgiest
fighty,fightier,fightiest
queenly,queenlier,queenliest
mimsy,mimsier,mimsiest
sludgy,sludgier,sludgiest
dyky,dykier,dykiest
wiggy,wiggier,wiggiest
choppy,choppier,choppiest
scace,scacer,scacest
wide,wider,widest
thoro,thoroer,thoroest
cloudy,cloudier,cloudiest
daddy,daddier,daddiest
chilly,chillier,chilliest
greedy,greedier,greediest
healthy,healthier,healthiest
slummy,slummier,slummiest
choise,choiser,choisest
notchy,notchier,notchiest
brummy,brummier,brummiest
achy,achier,achiest
splashy,splashier,splashiest
rainy,rainier,rainiest
naughty,naughtier,naughtiest
ratty,rattier,rattiest
shelly,shellier,shelliest
rife,rifer,rifest
goodly,goodlier,goodliest
wee,weer,weest
spry,sprier,spriest
tetchy,tetchier,tetchiest
late,later,latest
nither,nithermore,nithermost
lumpy,lumpier,lumpiest
sare2,sarer,sarest
rocky,rockier,rockiest
twiggy,twiggier,twiggiest
flamy,flamier,flamiest
branny,brannier,branniest
uneasy,uneasier,uneasiest
droll,droller,drollest
great,greater,greatest
clocky,clockier,clockiest
bosky,boskier,boskiest
scammy,scammier,scammiest
snide,snider,snidest
ill,iller,illest
derpy,derpier,derpiest
swank,swanker,swankest
shandy,shandier,shandiest
smol,smoler,smolest
croupy,croupier,croupiest
niffy,niffier,niffiest
mashy,mashier,mashiest
vain,vainer,vainest
ebb,ebber,ebbest
kool,kooler,koolest
fierce,fiercer,fiercest
puddly,puddlier,puddliest
weighty,weightier,weightiest
squiffy,squiffier,squiffiest
groundy,groundier,groundiest
tarty,tartier,tartiest
traddy,traddier,traddiest
wrinkly,wrinklier,wrinkliest
fizzy,fizzier,fizziest
feeble,feebler,feeblest
rusty2,rustier,rustiest
real,realer,realest
sweary,swearier,sweariest
flat,flatter,flattest
outdoorsy,outdoorsier,outdoorsiest
sheen,sheener,sheenest
flaunty,flauntier,flauntiest
preddy,preddier,preddiest
swebby,swebbier,swebbiest
noisy,noisier,noisiest
fleecy,fleecier,fleeciest
burry,burrier,burriest
frosty,frostier,frostiest
mushroomy,mushroomier,mushroomiest
frum,frummer,frummest
toey,toeier,toeiest
hilly,hillier,hilliest
obscure,obscurer,obscurest
moist,moister,moistest
rotund,rotunder,rotundest
busy,busier,busiest
noodly,noodlier,noodliest
wholsom,wholsomer,wholsomest
gamey,gamier,gamiest
widdle,widdler,widdlest
folkie,folkier,folkiest
bricky,brickier,brickiest
crumbly,crumblier,crumbliest
lyke,lyker,lykest
cryey,cryier,cryiest
vile,viler,vilest
ducky2,duckier,duckiest
dardy,dardier,dardiest
choong,choonger,choongest
plotty,plottier,plottiest
tweaky,tweakier,tweakiest
spiffy,spiffier,spiffiest
yald,yalder,yaldest
joyful,joyfuller,joyfullest
crouchy,crouchier,crouchiest
flexy,flexier,flexiest
slow,slower,slowest
swishy,swishier,swishiest
halloweeny,halloweenier,halloweeniest
cruisy,cruisier,cruisiest
songly,songlier,songliest
open,opener,openest
chary,charier,chariest
mousey,mousier,mousiest
lewd,lewder,lewdest
floofy,floofier,floofiest
female,femaler,femalest
jittery,jitterier,jitteriest
lunky,lunkier,lunkiest
tonk,tonker,tonkest
zhooshy,zhooshier,zhooshiest
lemony,lemonier,lemoniest
warry2,warrier,warriest
funny,funnier,funniest
whack,whacker,whackest
manly,manlier,manliest
fainty,faintier,faintiest
grabby,grabbier,grabbiest
modern,moderner,modernest
queazy,queazier,queaziest
eath,eather,eathest
bloodthirsty,bloodthirstier,bloodthirstiest
beardy,beardier,beardiest
swaggy,swaggier,swaggiest
iffy,iffier,iffiest
stuffy,stuffier,stuffiest
blue,bluer,bluest
frousy,frousier,frousiest
dweeby,dweebier,dweebiest
busty,bustier,bustiest
warm,warmer,warmest
lulzy,lulzier,lulziest
twisty,twistier,twistiest
doughty,doughtier,doughtiest
stumpy,stumpier,stumpiest
wheezy,wheezier,wheeziest
curdy,curdier,curdiest
