positive,comparative,superlative
qway,qwayer,qwayest
strappy,strappier,strappiest
wiry,wirier,wiriest
chesty,chestier,chestiest
surfy,surfier,surfiest
glossy,glossier,glossiest
slaty,slatier,slatiest
screamy,screamier,screamiest
blossomy,blossomier,blossomiest
ruly,rulier,ruliest
callow,callower,callowest
phunny,phunnier,phunniest
growthy,growthier,growthiest
sparse,sparser,sparsest
weasely,weaselier,weaseliest
pinky,pinkier,pinkiest
dudey,dudier,dudiest
lousy,lousier,lousiest
quobby,quobbier,quobbiest
downstream,farther,farthest
baity,baitier,baitiest
spruce,sprucer,sprucest
shacky,shackier,shackiest
climby,climbier,climbiest
skanky,skankier,skankiest
poshy,poshier,poshiest
salty,saltier,saltiest
helply,helplier,helpliest
queasy,queasier,queasiest
swash,swasher,swashest
eggy,eggier,eggiest
bent,benter,bentest
brothy,brothier,brothiest
frighty,frightier,frightiest
bonnie,bonnier,bonniest
airworthy,airworthier,airworthiest
shapely,shapelier,shapeliest
uncertain,more uncertain,uncertainest
reem,reemer,reemest
princely,princelier,princeliest
pricey,pricier,priciest
shoddy,shoddier,shoddiest
agile2,agiler,agilest
blowzy,blowzier,blowziest
smudgy,smudgier,smudgiest
fiendy,fiendier,fiendiest
quoggy,quoggier,quoggiest
bushy,bushier,bushiest
mopey,mopier,mopiest
finny,finnier,finniest
posey,posier,posiest
civil,civiler,civilest
sheepy,sheepier,sheepiest
snassy,snassier,snassiest
willful,willfuler,willfulest
acute,acuter,acutest
mormony,mormonier,mormoniest
golden,goldener,goldenest
black2,blacker,blackest
lofty,loftier,loftiest
freaky,freakier,freakiest
willy,willier,williest
fluky,flukier,flukiest
ticky,tickier,tickiest
lengthy,lengthier,lengthiest
tangy,tangier,tangiest
drifty,driftier,driftiest
fumy,fumier,fumiest
tippy,tippier,tippiest
deep,deeper,deepest
wittle,wittler,wittlest
rare2,rarer,rarest
faithy,faithier,faithiest
grode,groder,grodest
tawny,tawnier,tawniest
pricky,prickier,prickiest
proggy,proggier,proggiest
fugly,fuglier,fugliest
lang,langer,langest
foxy,foxier,foxiest
witty,wittier,wittiest
holey,holier,holiest
coarse,coarser,coarsest
nelly,nellier,nelliest
nasky,naskier,naskiest
schemey,schemier,schemiest
curious2,curiouser,curiousest
sane2,saner,sanest
rubbishy,rubbishier,rubbishiest
swell,sweller,swellest
featly,featlier,featliest
damned,damneder,damnedest
faithfull,faithfuller,faithfullest
podgy,podgier,podgiest
dread,dreader,dreadest
mild,milder,mildest
brawny,brawnier,brawniest
hacky2,hackier,hackiest
linty,lintier,lintiest
stable,stabler,stablest
sib,sibber,sibbest
inky,inkier,inkiest
whiney,whinier,whiniest
cloddy,cloddier,cloddiest
scorpy,scorpier,scorpiest
broad,broader,broadest
teentsy,teentsier,teentsiest
googley2,googlier,googliest
marchy2,marchier,marchiest
jinky,jinkier,jinkiest
selly,sellier,selliest
trig,trigger,triggest
wurlie,wurlier,wurliest
dreigh,dreigher,dreighest
creeky,creekier,creekiest
vivid,vivider,vividest
gaudy,gaudier,gaudiest
leery,leerier,leeriest
merrie,merrier,merriest
hip,hipper,hippest
stoopid,stoopider,stoopidest
cobwebby,cobwebbier,cobwebbiest
trustworthy,trustworthier,trustworthiest
marshy,marshier,marshiest
crude,cruder,crudest
pasty,pastier,pastiest
blokey,blokier,blokiest
vicious,viciouser,viciousest
speechworthy,speechworthier,speechworthiest
brambly,bramblier,brambliest
nappy,nappier,nappiest
french,frencher,frenchest
brave,braver,bravest
tiny,tinier,tiniest
inane,inaner,inanest
stagy,stagier,stagiest
wisht,wishter,wishtest
waxy2,waxier,waxiest
peaky,peakier,peakiest
abrupt,abrupter,abruptest
scaley,scalier,scaliest
dishy,dishier,dishiest
humid,humider,humidest
chiefly,chieflier,chiefliest
dull,duller,dullest
bluey,bluier,bluiest
fordry,fordrier,fordriest
roopy,roopier,roopiest
rad,radder,raddest
raggedy,raggedier,raggediest
coy,coyer,coyest
cockie,cockier,cockiest
balky,balkier,balkiest
snooty,snootier,snootiest
coily,coilier,coiliest
soft,softer,softest
greene,greener,greenest
broke2,broker,brokest
clanky,clankier,clankiest
stolid,stolider,stolidest
fade,fader,fadest
knuckly,knucklier,knuckliest
heathy,heathier,heathiest
shiny,shinier,shiniest
revvy,revvier,revviest
measly,measlier,measliest
chintzy,chintzier,chintziest
dilfy,dilfier,dilfiest
sad,sadder,saddest
punk,punker,punkest
withy,withier,withiest
golfy,golfier,golfiest
pushy,pushier,pushiest
gossipy,gossipier,gossipiest
sure,surer,surest
wodgy,wodgier,wodgiest
bugsy,bugsier,bugsiest
poxy,poxier,poxiest
windy,windier,windiest
likeable,likeabler,likeablest
klutzy,klutzier,klutziest
caky,cakier,cakiest
grimly,grimlier,grimliest
kingly,kinglier,kingliest
fidgety,fidgetier,fidgetiest
bosomy,bosomier,bosomiest
crap,crapper,crappest
sear,searer,searest
blasty,blastier,blastiest
quaint,quainter,quaintest
clam,clammer,clammest
teensy,teensier,teensiest
drinkworthy,drinkworthier,drinkworthiest
tawdry,tawdrier,tawdriest
beige,beiger,beigest
onry,onrier,onriest
lairy,lairier,lairiest
suckly,sucklier,suckliest
poufy,poufier,poufiest
oblique,obliquer,obliquest
ruff,ruffer,ruffest
floody,floodier,floodiest
tranquil,tranquiler,tranquilest
heauie,heauier,heauiest
heauy,heauier,heauiest
loose,looser,loosest
rough,rougher,roughest
wild,wilder,wildest
solemn,solemner,solemnest
carty,cartier,cartiest
dunny,dunnier,dunniest
broody,broodier,broodiest
bashy,bashier,bashiest
tubby,tubbier,tubbiest
groomy,groomier,groomiest
swirly,swirlier,swirliest
peerie,peerier,peeriest
weaselly,weasellier,weaselliest
rackety,racketier,racketiest
trim,trimmer,trimmest
tuny,tunier,tuniest
qool,qooler,qoolest
hissy,hissier,hissiest
bendly,bendlier,bendliest
dainty,daintier,daintiest
mixy,mixier,mixiest
unkind,unkinder,unkindest
hollow,hollower,hollowest
thuggy,thuggier,thuggiest
coal,coalier,coaliest
weakly,weaklier,weakliest
uppy,uppier,uppiest
might,mighter,mightest
upper,uppermore,uppermost
prissy,prissier,prissiest
thorny,thornier,thorniest
gammie,gammier,gammiest
mad,madder,maddest
fore,former,foremost
thingy,thingier,thingiest
crinkly,crinklier,crinkliest
goaty,goatier,goatiest
dastardly,dastardlier,dastardliest
dreamy,dreamier,dreamiest
nobbly,nobblier,nobbliest
tickly,ticklier,tickliest
mighty,mightier,mightiest
droopy,droopier,droopiest
willowy,willowier,willowiest
torrid,torrider,torridest
droughty,droughtier,droughtiest
sly,slier,sliest
plump,plumper,plumpest
nitty2,nittier,nittiest
fervid,fervider,fervidest
antsy,antsier,antsiest
leeky,leekier,leekiest
dense,denser,densest
rangy,rangier,rangiest
squealy,squealier,squealiest
little,less,least
soggy,soggier,soggiest
wet,wetter,wettest
absurd,absurder,absurdest
twirly,twirlier,twirliest
laughy,laughier,laughiest
banal,banaler,banalest
roasty,roastier,roastiest
boney,bonier,boniest
chewy,chewier,chewiest
frank,franker,frankest
pert,perter,pertest
wibbly,wibblier,wibbliest
burly2,burlier,burliest
swanny,swannier,swanniest
nice,nicer,nicest
wheyey,wheyier,wheyiest
jouncy,jouncier,jounciest
naggy,naggier,naggiest
flicky,flickier,flickiest
frenchy,frenchier,frenchiest
rubbery,rubberier,rubberiest
twangy,twangier,twangiest
drab,drabber,drabbest
nyc,nycer,nycest
cozy,cozier,coziest
crunk,crunker,crunkest
balmy,balmier,balmiest
chippy,chippier,chippiest
slushy,slushier,slushiest
happy,happier,happiest
simple,simpler,simplest
scrawny,scrawnier,scrawniest
doddery,dodderier,dodderiest
gloomy,gloomier,gloomiest
blunt,blunter,bluntest
cuppy,cuppier,cuppiest
cheeky,cheekier,cheekiest
sorry,sorrier,sorriest
lit2,litter,littest
rulesy,rulesier,rulesiest
ditzy,ditzier,ditziest
shmaltzy,shmaltzier,shmaltziest
tipsy,tipsier,tipsiest
ripe2,riper,ripest
jowly,jowlier,jowliest
friendly,friendlier,friendliest
sniffy,sniffier,sniffiest
spiny,spinier,spiniest
scrubby,scrubbier,scrubbiest
humble,humbler,humblest
whiny,whinier,whiniest
smacky,smackier,smackiest
juicy,juicier,juiciest
damp,damper,dampest
flowy,flowier,flowiest
soaky,soakier,soakiest
bitter,bitterer,bitterest
grotesque,grotesquer,grotesquest
hoary,hoarier,hoariest
unquiet,unquieter,unquietest
doggoned,more doggoned,doggonedest
thone,thoner,thonest
schmoopy,schmoopier,schmoopiest
streetworthy,streetworthier,streetworthiest
mellow,mellower,mellowest
drony,dronier,droniest
seemly,seemlier,seemliest
grouchy,grouchier,grouchiest
bobbly,bobblier,bobbliest
stormy,stormier,stormiest
kitsch,kitscher,kitschest
fulsome,fulsomer,fulsomest
able,abler,ablest
toothy,toothier,toothiest
knaggy,knaggier,knaggiest
ould,oulder,ouldest
drowsy,drowsier,drowsiest
sassy,sassier,sassiest
kindly,kindlier,kindliest
clowny,clownier,clowniest
beloved,beloveder,belovedest
boyey,boyier,boyiest
free,freer,freest
fleeky,fleekier,fleekiest
piny,pinier,piniest
churny,churnier,churniest
ropy,ropier,ropiest
loveable,loveabler,loveablest
nerdy,nerdier,nerdiest
plunky,plunkier,plunkiest
bendy2,bendier,bendiest
horrible,horribler,horriblest
thicc,thiccer,thiccest
smeary,smearier,smeariest
cliquey,cliquier,cliquiest
snaily,snailier,snailiest
lacey,lacier,laciest
herby,herbier,herbiest
sprucy,sprucier,spruciest
lanky2,lankier,lankiest
hoody,hoodier,hoodiest
flossy,flossier,flossiest
paunchy,paunchier,paunchiest
ridgy,ridgier,ridgiest
whorey,whorier,whoriest
sobby,sobbier,sobbiest
classy,classier,classiest
grippy2,grippier,grippiest
cheepy,cheepier,cheepiest
beaut,beauter,beautest
glam,glammer,glammest
bog,bogger,boggest
snitchy,snitchier,snitchiest
blurry,blurrier,blurriest
ploppy,ploppier,ploppiest
kluggy,kluggier,kluggiest
foody,foodier,foodiest
pinchy,pinchier,pinchiest
unlikely,unlikelier,unlikeliest
heathen2,heathener,heathenest
blank,blanker,blankest
whelpy,whelpier,whelpiest
huge,huger,hugest
sinful,sinfuller,sinfullest
speedy,speedier,speediest
woody,woodier,woodiest
quippy,quippier,quippiest
sterne,sterner,sternest
tweedy,tweedier,tweediest
wristy,wristier,wristiest
fraidy,fraidier,fraidiest
dashy,dashier,dashiest
scungy,scungier,scungiest
tasty,tastier,tastiest
hoky,hokier,hokiest
washy,washier,washiest
doomy,doomier,doomiest
louely,louelier,loueliest
stiff,stiffer,stiffest
rash,rasher,rashest
hardy,hardier,hardiest
huggy,huggier,huggiest
schlubby,schlubbier,schlubbiest
loopy,loopier,loopiest
pawy,pawier,pawiest
chatty,chattier,chattiest
pithy,pithier,pithiest
apt,apter,aptest
scrappy,scrappier,scrappiest
favourite,more favourite,favouritemost
bland,blander,blandest
strang,stranger,strangest
crumby,crumbier,crumbiest
bugly,buglier,bugliest
wholesome,wholesomer,wholesomest
slapsticky,slapstickier,slapstickiest
blowsy,blowsier,blowsiest
drekky,drekkier,drekkiest
pouffy,pouffier,pouffiest
hyphy,hyphier,hyphiest
wheely,wheelier,wheeliest
unclear,unclearer,unclearest
snaggy,snaggier,snaggiest
complete,completer,completest
woeful,woefuller,woefullest
minecrafty,minecraftier,minecraftiest
goosy,goosier,goosiest
safe,safer,safest
touristy,touristier,touristiest
forky,forkier,forkiest
uncouth,uncouther,uncouthest
orangy,orangier,orangiest
riffy,riffier,riffiest
bitchly,bitchlier,bitchliest
faddy,faddier,faddiest
splendid,splendider,splendidest
chincy,chincier,chinciest
steadfast,steadfaster,steadfastest
dodgy,dodgier,dodgiest
ignoble,ignobler,ignoblest
raspberry,raspberrier,raspberriest
tichy,tichier,tichiest
freezy,freezier,freeziest
slimpsy,slimpsier,slimpsiest
boofy,boofier,boofiest
blake,blaker,blakest
delicate,delicater,delicatest
dusky,duskier,duskiest
chavvy,chavvier,chavviest
hokey,hokier,hokiest
royal2,royaler,royalest
leftern,more leftern,lefternmost
bammy,bammier,bammiest
jingly,jinglier,jingliest
glitzy,glitzier,glitziest
tabby,tabbier,tabbiest
mald,malder,maldest
angry,angrier,angriest
lovely,lovelier,loveliest
smiley,smilier,smiliest
orangey,orangier,orangiest
womanly,womanlier,womanliest
flirty,flirtier,flirtiest
shitey,shitier,shitiest
turpsy,turpsier,turpsiest
porny,pornier,porniest
winning,winninger,winningest
edgy,edgier,edgiest
bratty,brattier,brattiest
whimsy,whimsier,whimsiest
swanky,swankier,swankiest
knobbly,knobblier,knobbliest
wold,wolder,woldest
infirm,infirmer,infirmest
reeky,reekier,reekiest
foggy,foggier,foggiest
milde,milder,mildest
compact2,compacter,compactest
yechy,yechier,yechiest
hole,holer,holest
violent,violenter,violentest
skew,skewer,skewest
hooty,hootier,hootiest
pissy,pissier,pissiest
heartly,heartlier,heartliest
punny,punnier,punniest
graund,graunder,graundest
leet,leeter,leetest
waffy,waffier,waffiest
bitching,more bitching,bitchingest
plaguey,plaguier,plaguiest
wholle,wholler,whollest
buxom,buxomer,buxomest
piggy,piggier,piggiest
swicy,swicier,swiciest
bulky,bulkier,bulkiest
worthy,worthier,worthiest
thymy,thymier,thymiest
shallow,shallower,shallowest
hinky,hinkier,hinkiest
raunchy,raunchier,raunchiest
spongey,spongier,spongiest
spangly,spanglier,spangliest
sneaky,sneakier,sneakiest
yappy,yappier,yappiest
wimpy,wimpier,wimpiest
normie,normier,normiest
boardy,boardier,boardiest
clatty,clattier,clattiest
sappy2,sappier,sappiest
manky,mankier,mankiest
verye,verier,veriest
lusty,lustier,lustiest
sleek,sleeker,sleekest
grody,grodier,grodiest
sleezy,sleezier,sleeziest
shrubby,shrubbier,shrubbiest
wyse,wyser,wysest
nubbly,nubblier,nubbliest
rickety,ricketier,ricketiest
harmful,harmfuller,harmfullest
fit,fitter,fittest
roguy,roguier,roguiest
glimmery,glimmerier,glimmeriest
bassy,bassier,bassiest
goth2,gother,gothest
stale2,staler,stalest
grey,greyer,greyest
birsy,birsier,birsiest
jet2,jetter,jettest
okay,okayer,okayest
sere2,serer,serest
waltzy,waltzier,waltziest
breezy,breezier,breeziest
plosive,plosiver,plosivest
lissome,lissomer,lissomest
scurvy,scurvier,scurviest
twinky,twinkier,twinkiest
cosie,cosier,cosiest
useful,usefuller,usefullest
peaceful,peacefuller,peacefullest
sleepy,sleepier,sleepiest
snazzy,snazzier,snazziest
irate,irater,iratest
terfy,terfier,terfiest
watery,waterier,wateriest
jokey,jokier,jokiest
schmancy,schmancier,schmanciest
toasty,toastier,toastiest
curseworthy,curseworthier,curseworthiest
stiddy,stiddier,stiddiest
tight,tighter,tightest
peaty,peatier,peatiest
bummy,bummier,bummiest
squinty,squintier,squintiest
weary,wearier,weariest
kissy,kissier,kissiest
plummy,plummier,plummiest
almondy,almondier,almondiest
green2,greener,greenest
leaky,leakier,leakiest
glum,glummer,glummest
barny,barnier,barniest
spongy,spongier,spongiest
thic,thiccer,thiccest
snubby,snubbier,snubbiest
floury,flourier,flouriest
mute,muter,mutest
scary,scarier,scariest
shweet,shweeter,shweetest
prim,primmer,primmest
poncey,poncier,ponciest
bloaty,bloatier,bloatiest
gutty2,guttier,guttiest
perverse,perverser,perversest
squally,squallier,squalliest
snoozy,snoozier,snooziest
lithe,lither,lithest
slick,slicker,slickest
beaky,beakier,beakiest
gawdy,gawdier,gawdiest
dickey,dickier,dickiest
pilly,pillier,pilliest
chief,chiefer,chiefest
junky,junkier,junkiest
narky,narkier,narkiest
peary,pearier,peariest
filthy,filthier,filthiest
ungentle,ungentler,ungentlest
unpleasant,unpleasanter,unpleasantest
munchy,munchier,munchiest
weaky,weakier,weakiest
gezellig,gezelliger,gezelligest
flaggy,flaggier,flaggiest
crumply,crumplier,crumpliest
faint,fainter,faintest
hoppy2,hoppier,hoppiest
deft,defter,deftest
grindy,grindier,grindiest
breasty,breastier,breastiest
witchy,witchier,witchiest
cagy,cagier,cagiest
grunty,gruntier,gruntiest
slippy,slippier,slippiest
bene,benar,benat
schmaltzy,schmaltzier,schmaltziest
klunky,klunkier,klunkiest
flingy,flingier,flingiest
bitchy,bitchier,bitchiest
bloggy,bloggier,bloggiest
dark,darker,darkest
scrimpy,scrimpier,scrimpiest
sudden,suddener,suddenest
scummy,scummier,scummiest
hoggy,hoggier,hoggiest
drumly,drumlier,drumliest
slabby,slabbier,slabbiest
sickly,sicklier,sickliest
brath,brather,brathest
mirthy,mirthier,mirthiest
hefty,heftier,heftiest
shabby,shabbier,shabbiest
spooney,spoonier,spooniest
buffy,buffier,buffiest
darty,dartier,dartiest
churly,churlier,churliest
bleary,blearier,bleariest
reefy,reefier,reefiest
choicy,choicier,choiciest
squelchy,squelchier,squelchiest
whity,whitier,whitiest
ungodly,ungodlier,ungodliest
squirmy,squirmier,squirmiest
purply,purplier,purpliest
curmudgeonly,curmudgeonlier,curmudgeonliest
sloshy,sloshier,sloshiest
gimpy,gimpier,gimpiest
thick,thicker,thickest
nether,nethermore,nethermost
bluff,bluffer,bluffest
scorchy,scorchier,scorchiest
splitty,splittier,splittiest
unthrifty,unthriftier,unthriftiest
intense,intenser,intensest
unhealthy,unhealthier,unhealthiest
shivery,shiverier,shiveriest
wilful,wilfuler,wilfulest
sluggish,sluggisher,sluggishest
rummy,rummier,rummiest
poofy,poofier,poofiest
bored,boreder,boredest
boomy,boomier,boomiest
stark,starker,starkest
storky,storkier,storkiest
irky,irkier,irkiest
supream,supreamer,supreamest
feal,fealer,fealest
violet,violeter,violetest
douchey,douchier,douchiest
ashy,ashier,ashiest
funni,funnier,funniest
rafty,raftier,raftiest
nigh,nigher,nighest
noice,noicer,noicest
glib,glibber,glibbest
fudgey,fudgier,fudgiest
mug,mugger,muggest
perfect,perfecter,perfectest
comfortable,comfortabler,comfortablest
unwary,unwarier,unwariest
solid,solider,solidest
brusque,brusquer,brusquest
necessary,necessarier,necessariest
heady,headier,headiest
horny,hornier,horniest
strong,stronger,strongest
butchy,butchier,butchiest
disgraceful,disgracefuller,disgracefullest
dizzy,dizzier,dizziest
stripy,stripier,stripiest
mawky,mawkier,mawkiest
cuspy,cuspier,cuspiest
mim,mimmer,mimmest
key,keyer,keyest
shifty,shiftier,shiftiest
strikt,strikter,striktest
benign,benigner,benignest
dutty,duttier,duttiest
odd,odder,oddest
sarky,sarkier,sarkiest
barren,barrener,barrenest
worthly,worthlier,worthliest
ricketty,rickettier,rickettiest
shiply,shiplier,shipliest
stemmy,stemmier,stemmiest
thumby,thumbier,thumbiest
fast2,faster,fastest
fluty,flutier,flutiest
parky,parkier,parkiest
mingy,mingier,mingiest
scaly,scalier,scaliest
flushy,flushier,flushiest
bass,basser,bassest
unworthy,unworthier,unworthiest
harsh,harsher,harshest
loving,lovinger,lovingest
undirty,undirtier,undirtiest
snaky,snakier,snakiest
klugy,klugier,klugiest
trebly,treblier,trebliest
astute,astuter,astutest
patchy,patchier,patchiest
winsome,winsomer,winsomest
fetchy,fetchier,fetchiest
obscene,obscener,obscenest
just,juster,justest
warweary,warwearier,warweariest
toffy,toffier,toffiest
anxious,anxiouser,anxiousest
lowly,lowlier,lowliest
swaly,swalier,swaliest
wicked2,wickeder,wickedest
likeworthy,likeworthier,likeworthiest
straightforward,straighterforward,straightestforward
def,deffer,deffest
smoochy,smoochier,smoochiest
snarly,snarlier,snarliest
coxy,coxier,coxiest
lissom,lissomer,lissomest
clawy,clawier,clawiest
boggy,boggier,boggiest
brushy,brushier,brushiest
frim2,frimmer,frimmest
stubbly,stubblier,stubbliest
drecky,dreckier,dreckiest
uncanny,uncannier,uncanniest
pussy2,pussier,pussiest
slidy,slidier,slidiest
poopy,poopier,poopiest
knotty,knottier,knottiest
schlocky,schlockier,schlockiest
peppy,peppier,peppiest
chumpy,chumpier,chumpiest
whippy,whippier,whippiest
lost,loster,lostest
fond,fonder,fondest
squatty,squattier,squattiest
sooky,sookier,sookiest
curly,curlier,curliest
mumbly,mumblier,mumbliest
fucky,fuckier,fuckiest
potty,pottier,pottiest
kewl,kewler,kewlest
skeevy,skeevier,skeeviest
hard2,harder,hardest
ruddy,ruddier,ruddiest
warby,warbier,warbiest
level,leveler,levelest
beary,bearier,beariest
fatty,fattier,fattiest
chinky2,chinkier,chinkiest
cocky,cockier,cockiest
cheugy,cheugier,cheugiest
thungry,thungrier,thungriest
bald,balder,baldest
darkly,darklier,darkliest
smart2,smarter,smartest
glad,gladder,gladdest
houndly,houndlier,houndliest
rorty,rortier,rortiest
teary,tearier,teariest
starry,starrier,starriest
gammy,gammier,gammiest
smelly,smellier,smelliest
gungy,gungier,gungiest
clunky,clunkier,clunkiest
woozy,woozier,wooziest
fringey,fringier,fringiest
sullen,sullener,sullenest
pappy,pappier,pappiest
germy,germier,germiest
blocky,blockier,blockiest
pudgy,pudgier,pudgiest
bunchy,bunchier,bunchiest
quick,quicker,quickest
rumbly,rumblier,rumbliest
splotchy,splotchier,splotchiest
draggy,draggier,draggiest
itty,ittier,ittiest
puggy,puggier,puggiest
bubbly,bubblier,bubbliest
limey,limier,limiest
cowy,cowier,cowiest
evil,eviller,evillest
bleepy,bleepier,bleepiest
dicky,dickier,dickiest
lew2,lewer,lewest
boss,bosser,bossest
fuggy,fuggier,fuggiest
wormy,wormier,wormiest
breezey,breezier,breeziest
squat,squatter,squattest
angsty,angstier,angstiest
lively,livelier,liveliest
silvery,silverier,silveriest
dadly,dadlier,dadliest
drubly,drublier,drubliest
kinky,kinkier,kinkiest
crusty,crustier,crustiest
blithe,blither,blithest
gold2,golder,goldest
baroque2,baroquer,baroquest
plesaunt,plesaunter,plesauntest
zoomy,zoomier,zoomiest
zooey,zooier,zooiest
ample,ampler,amplest
snipy,snipier,snipiest
nudy,nudier,nudiest
cringy,cringier,cringiest
fine,finer,finest
mundane,mundaner,mundanest
needy,needier,neediest
square,squarer,squarest
loony,loonier,looniest
gaspy,gaspier,gaspiest
switchy,switchier,switchiest
brusk,brusker,bruskest
blimpy,blimpier,blimpiest
awful,awfuller,awfullest
claggy,claggier,claggiest
debby,debbier,debbiest
nude,nuder,nudest
fussy,fussier,fussiest
bitty,bittier,bittiest
codgy,codgier,codgiest
sunny,sunnier,sunniest
thistly,thistlier,thistliest
specky2,speckier,speckiest
homey,homier,homiest
sturdy,sturdier,sturdiest
fringe,fringer,fringest
blueberry,blueberrier,blueberriest
shonky,shonkier,shonkiest
charming,charminger,charmingest
tufty,tuftier,tuftiest
spacky,spackier,spackiest
chinny,chinnier,chinniest
shippy,shippier,shippiest
skippy,skippier,skippiest
taut,tauter,tautest
grimy,grimier,grimiest
zany,zanier,zaniest
tall,taller,tallest
eepy,eepier,eepiest
racy,racier,raciest
finicky,finickier,finickiest
nebby,nebbier,nebbiest
prone,proner,pronest
sinky,sinkier,sinkiest
wise,wiser,wisest
deedy,deedier,deediest
globby,globbier,globbiest
snorty,snortier,snortiest
unlucky,unluckier,unluckiest
clinky,clinkier,clinkiest
pleasy,pleasier,pleasiest
fruity,fruitier,fruitiest
silty,siltier,siltiest
licky,lickier,lickiest
ghastly,ghastlier,ghastliest
sagey,sagier,sagiest
booby2,boobier,boobiest
gleamy,gleamier,gleamiest
winy,winier,winiest
fat,fatter,fattest
stout,stouter,stoutest
shoal,shoaler,shoalest
pooty,pootier,pootiest
hangry,hangrier,hangriest
shoppy,shoppier,shoppiest
tense,tenser,tensest
gucky,guckier,guckiest
stingy,stingier,stingiest
whizzy,whizzier,whizziest
erky,erkier,erkiest
merie,merier,meriest
murk,murker,murkest
faffy,faffier,faffiest
craggy,craggier,craggiest
unfriendly,unfriendlier,unfriendliest
tarry,tarrier,tarriest
brief,briefer,briefest
waily,wailier,wailiest
booky,bookier,bookiest
hoaxy,hoaxier,hoaxiest
gamely,gamelier,gameliest
goel,goeler,goelest
rattly,rattlier,rattliest
whacky,whackier,whackiest
toolsy,toolsier,toolsiest
mushy,mushier,mushiest
grumbly,grumblier,grumbliest
grotty,grottier,grottiest
grapey,grapier,grapiest
fishy,fishier,fishiest
oily,oilier,oiliest
hooly,hoolier,hooliest
swear,swearer,swearest
ree,reer,reest
gaunt,gaunter,gauntest
wispy,wispier,wispiest
holy2,holier,holiest
leary,learier,leariest
eathy,eathier,eathiest
seedy,seedier,seediest
shadowy,shadowier,shadowiest
slimey,slimier,slimiest
courtly,courtlier,courtliest
sheeny,sheenier,sheeniest
jabby,jabbier,jabbiest
choky,chokier,chokiest
strawberry,strawberrier,strawberriest
roguey,roguier,roguiest
clucky,cluckier,cluckiest
archpriestly,archpriestlier,archpriestliest
spendy,spendier,spendiest
selfish,selfisher,selfishest
crapey,crapier,crapiest
mouldy,mouldier,mouldiest
meek,meeker,meekest
mothy,mothier,mothiest
bitsy,bitsier,bitsiest
ornery,ornerier,orneriest
crowdy,crowdier,crowdiest
cute,cuter,cutest
whiffy,whiffier,whiffiest
stubborn,stubborner,stubbornest
weepy,weepier,weepiest
weeny,weenier,weeniest
coughy,coughier,coughiest
wifely,wifelier,wifeliest
feathery,featherier,featheriest
solwy,solwier,solwiest
jolty,joltier,joltiest
towny,townier,towniest
sightly,sightlier,sightliest
wofull,wofuller,wofullest
unearthly,unearthlier,unearthliest
hypey,hypier,hypiest
gutsy,gutsier,gutsiest
spicy,spicier,spiciest
darling,more darling,darlingest
itsy,itsier,itsiest
mythy,mythier,mythiest
round,rounder,roundest
skimpy,skimpier,skimpiest
nooky,nookier,nookiest
loud,louder,loudest
glumpy,glumpier,glumpiest
hasty,hastier,hastiest
bad2,badder,baddest
bad3,worse,worst
fool,fooler,foolest
veiny,veinier,veiniest
worldweary,worldwearier,worldweariest
zippy,zippier,zippiest
prophane,prophaner,prophanest
young,younger,youngest
aware,awarer,awarest
wode,woder,wodest
cliffy,cliffier,cliffiest
dilly2,dillier,dilliest
loungy,loungier,loungiest
jewish,jewisher,jewishest
fowl,fowler,fowlest
diddy,diddier,diddiest
indiscreet,indiscreeter,indiscreetest
queer2,queerer,queerest
flaky,flakier,flakiest
sleazy,sleazier,sleaziest
bare,barer,barest
snory,snorier,snoriest
elite,eliter,elitest
babbly,babblier,babbliest
narrow,narrower,narrowest
gluggy,gluggier,gluggiest
judgy,judgier,judgiest
piddly,piddlier,piddliest
gladsome,gladsomer,gladsomest
slanty,slantier,slantiest
saintly,saintlier,saintliest
auld,aulder,auldest
swingy,swingier,swingiest
savvy,savvier,savviest
pitiful,pitifuller,pitifullest
screwy,screwier,screwiest
unsound,unsounder,unsoundest
folky,folkier,folkiest
mumsy,mumsier,mumsiest
auncient,auncienter,auncientest
glassy,glassier,glassiest
doggy2,doggier,doggiest
strict,stricter,strictest
shit,shitter,shittest
skody,skodier,skodiest
grand,grander,grandest
blobby,blobbier,blobbiest
bluggy,bluggier,bluggiest
kway,kwayer,kwayest
rhymy,rhymier,rhymiest
rimy,rimier,rimiest
nooby,noobier,noobiest
hashy,hashier,hashiest
dowdy,dowdier,dowdiest
skill,skiller,skillest
obese,obeser,obesest
heavy2,heavier,heaviest
nipply,nipplier,nippliest
dicty,dictier,dictiest
malty,maltier,maltiest
wrathy,wrathier,wrathiest
unpretty,unprettier,unprettiest
subtle,subtler,subtlest
flouncy,flouncier,flounciest
unsexy,unsexier,unsexiest
meet,meeter,meetest
yiffy,yiffier,yiffiest
thumpy,thumpier,thumpiest
dire,direr,direst
fele,feler,felest
blogworthy,blogworthier,blogworthiest
fly,flier,fliest
nummy,nummier,nummiest
earnest,earnester,earnestest
floppy,floppier,floppiest
adroit,adroiter,adroitest
sage,sager,sagest
ruggy,ruggier,ruggiest
certain,certainer,certainest
twee,tweer,tweest
cruddy,cruddier,cruddiest
gross,grosser,grossest
chavvie,chavvier,chavviest
canny2,cannier,canniest
fleshy,fleshier,fleshiest
bonny,bonnier,bonniest
