wiki_single,wiktionary_plural
shoshone,shoshone
camisa,camisae
cursus,cursus
cursus,cursūs
cursus,cursi
fursona,fursonae
speso,spesoj
diverticulum,diverticuli
shang,shang
tupuna,tūpuna
lunula,lunulæ
tl;dr,tl;dr's
pan,pen
a+,a+'s
b+,b+'s
labrys,labryes
underhanded,the underhanded
crista,cristæ
faqih,fuqaha'
gentilhomme,gentilshommes
orchis,orchisses
kotlet,kotlety
osage,osage
blaireau,blaireaus
calcar,calcaria
fbo,fbo's
stipula,stipulæ
understory,understorys
kaidan,kaidan
landammann,landammänner
habenula,habenulæ
fingo,fingo
bitki,bitki
wirtshaus,wirtshäuser
stoa,stoæ
cithara,citharæ
rotavirus,rotaviri
dwindles,the dwindles
darse,darse
tiin,tiin
alfajor,alfajores
okruh,okruhy
palacsinta,palacsinta
tuchus,tuchi
buccina,buccine
bankes,bankes
hromada,hromady
collywobbles,the collywobbles
metron,metra
katsuo,katsuo
auslaut,auslaute
hitodama,hitodama
gummi,gummies
provisorium,provisoriums
hrivna,hrivni
cyma,cymæ
fossula,fossulæ
fimbria,fimbriæ
nephridium,nephridiums
telangiectasia,telangiectasiæ
rothschild,rothschildren
userbox,userboxen
olmec,olmec
vates,vates
pataka,pataka
krai,kraia
fqih,fuqaha'
mashgiach,mashgihim
clafoutis,clafoutis
vizsla,vizslák
stotin,stotina
stotin,stotini
oms,oms's
dysesthesia,dysesthesiae
kupuna,na kupuna
ais,ais's
vibratiuncula,vibratiunculæ
cpi,cpi
scrophula,scrophulæ
hartebeest,hartebeesten
foveola,foveolæ
hanafuda,hanafuda
raion,raiony
nvocc,nvocc's
cestui,cestuies
lebensraum,lebensräume
versta,versty
prester,presteres
gwerz,gwerzioù
radicula,radiculae
subula,subulae
aufeis,aufeise
kyogen,kyogen
sads,the sads
intertrigo,intertrigines
sxs,sxs's
explicans,explicantia
mirador,miradores
antechinus,antechini
lagena,lagenæ
trabeata,trabeatae
chok,chukim
yaku,yaku
vallicula,valliculae
calathis,calathides
bracteola,bracteolae
clavicula,claviculæ
tps,tps's
hydroecium,hydrœcia
spesmilo,spesmiloj
brisky,uncertain: briskys
dirdum,dirdums
pyopneumothorax,pyopneumothoraxes
pyopneumothorax,pyopneumohoraces
tubulus,tubuli
pacs,pacs's
golding,goldinges
patellula,patellulæ
hoodman,hoodmans
jotun,jötnar
umzulu,amazulu
conferva,confervæ
asbestus,asbesti
sprachbund,sprachbünde
temperates,the temperates
shoshoni,shoshoni
primigravida,primigravidæ
actinula,actinulæ
sprachbund,sprachbünde
desiatina,desiatiny
labba,labba
aquafauna,aquafaunæ
umbella,umbellae
azat,azatk‘
shu,shu's
scu,scu's
gallu,gallu
antitorpedo,antitorpedoes
gubernia,gubernii
guberniya,gubernii
pasteli,pastelia
lallwort,lallwörter
molokan,molokany
keed,keedz
meteg,metagim
meteg,metegim
volost,volosti
uac,uac
jarawa,jarawa
tonkawa,tonkawa
gnathion,gnathia
locellus,locelli
rikisha,rikisha
endotesta,endotestæ
nachlass,nachlässe
subcontinuum,subcontinuums
satsumaimo,satsumaimo
underkimono,underkimono
securigera,securigerae
mvskoke,mvskoke
subbotnik,subbotniki
voskresnik,voskresniki
shashlyk,shashlyki
dts,the dts
tx,tx's
cosimplex,cosimplices
kiai,kiai
leonardeschi,the leonardeschi
wasteman,wastemans
hoa,hoa's
gaeilgeoir,gaeilgeoirí
tiropita,tiropites
tyropita,tyropites
stubborns,the stubborns
amebula,amebulæ
ags,agss
naga,naga
microraion,microraiony
dismals,the dismals
shengyuan,shengyuan
karategi,karategi
hemshin,hemshin
subbotnik,subbotniki
enf,enfs
urstromtal,urstromtäler
sleepies,the sleepies
chaoskampf,chaoskampfs
onibi,onibi
unguiculus,unguiculi
rowi,rowi
deuteroconch,deuteroconchs
uap,uap's
paprikahuhn,paprikahühner
plantula,plantulae
ulx,ulx's
lacc,lacc's
sxs,sxs's
pasuk,p'sukim
lgbo,lgbo's
bwbach,bwbachod
riksha,riksha
obby,obbys
lionesses,the lionesses
oomf,oomfs
nahuan,nahuan
residenzstadt,residenzstädte
dphil,dphil's
dolefuls,the dolefuls
ozt,ozt's
sandnigga,sandniggaz
dedushka,dedushki
eaas,eaas's
handie,handsies
blahaj,blahajar
mystes,mystai
his,his's
kb,kb's
ytpmv,ytpmv's
fto,fto's
meemies,the meemies
hisatsinom,the hisatsinom
landsmanschaft,landsmanschaften
monohedron,monohedra
fanouropita,fanouropites
amoebula,amoebulæ
pwn,pwne
flumpf,flumpfs
bifshteks,bifshteks
sturzstrom,sturzströme
insp,insp
insp,insp's
srf,srfs
erotema,erotemata
mushaf,mushafs
mushaf,masahif
vax,vaxen
kunbi,kunbi
epiphragma,epiphragmata
kopiika,kopiiky
kopiika,kopiiok
kapeyka,kapeyki
granofels,granofels
palatschinke,palatschinken
aesymnetes,aesymnetai
aisymnetes,aisymnetai
fumigatorium,fumigatoriums
rhizohypha,rhizohyphae
mfff,mfffs
psf,psfs
epas,epass
linzertorte,linzertorten
linzertorte,linzertorten
kwapa,kwapa
naizuri,naizuri
worksona,worksonae
firstfoot,firstfoots
palanquy,palanquys
counterparadox,counterparadoxes
talish,talish
thlinget,thlinget
dististylus,dististyli
enban,enben
lithophysa,lithophysae
tiklal,tikalil
tiklal,tiklalim
helus,heli
datlash,datlashim
barbaroux,barbaroux
voskresnik,voskresniki
shongum,shongums
biandang,biandang
fungillus,fungilli
mkhare,mkharebi
umbellula,umbellulae
pseudannulus,pseudannuli
rhacheola,rhacheolae
karyosoma,karyosomata
epicutis,epicutes
gruzz,gruzzes
yatiri,yatiri
mayogo,mayogo
slsn,slsne
infraordo,infraordines
mikroraion,mikroraiony
kontraktnik,kontraktniki
protenema,protenemata
qof,qofs
rqof,rqofs
artenkreis,artenkreise
ctenius,ctenii
deedbox,deedboxes
pseudothallus,pseudothalli
amphisarca,amphisarcae
sporula,sporulae
supershero,supersheroes
tripewife,tripewives
laryngotrachea,laryngotracheae
shugenja,shugenja
urdoxa,urdoxae
maamar,maamarim
edah,edot
gaddi,gaddi
nimisin,nimisin
berkowitz,berkowitz
boffff,boffffs
xylospongium,xylospongiums
kilominx,kilominxes
flowerminx,flowerminxes
spirofibrilla,spirofibrillae
fruzz,fruzz
gtf,gtfs
pianoman,pianomans
pby,pbys
slf,slfs
supracargo,supracargoes
lymphangioadenitis,lymphangioadenitises
liemax,liemaxes
subcargo,subcargoes
heterotrichosis,heterotrichosises
gotrocks,gotrocks
guberniia,gubernii
bennenungsmotiv,bennenungsmotive
oilbox,oilboxes
underhum,underhums
underspecies,underspecies
myometritis,endometritides
agalinis,agalinis
ponka,ponka
akikuyu,akikuyu
zerohedron,zerohedra
hig,hig
irogane,irogane
kebabche,kebabcheta
kebabche,kebabche
teke,teke
bateke,bateke
borderies,borderies
brilliandeer,brilliandeers
filmworks,filmworks
immram,immrama
echtrae,echtrai
nevelah,nevelot
freebox,freeboxes
brakedrum,brakedrums
kalimavkion,kalimavkia
kamilavkion,kamilavkia
kalymauchion,kalymauchia
triclops,triclops
megaannum,megaannums
melodium,melodiums
kpf,kpfs
cardiophylax,cardiophylaxes
imacquarium,imacquariums
imacquarium,imacquariums
frontoclypeus,frontoclypei
lamista,lamista
letoff,letoffs
lodha,lodha
minitari,minitari
orgion,orgia
naumkeag,naumkeag
placardeer,placardeers
boiarin,boiare
counterjinx,counterjinxes
